name,KEGG
N-ALPHA-ACETYLLYSINE,C12989
N-ALPHA-ACETYLLYSINE+Na,C12989
CYTIDINE MONOPHOSPHATE+Na,C00055
CYTIDINE MONOPHOSPHATE,C00055
CYTIDINE MONOPHOSPHATE-dimer,C00055
PYRIDOXAL-PHOSPHATE+Na,C00018
PYRIDOXAL-PHOSPHATE,C00018
PYRIDOXAL-PHOSPHATE-dimer,C00018
ADENINE,C00147
ADENINE+Na,C00147
ADENINE-dimer+Na,C00147
ADENINE+K,C00147
CYTIDINE DIPHOSPHATE,C00112
CYTIDINE DIPHOSPHATE+Na,C00112
MEVALOLACTONE,null
MEVALOLACTONE-dimer+Na,null
MEVALOLACTONE+K,null
MEVALOLACTONE+Na,null
MEVALOLACTONE+NH4,null
"N,N,N-TRIMETHYLLYSINE-dimer",C03793
"N,N,N-TRIMETHYLLYSINE-dimer+Na",C03793
"N,N,N-TRIMETHYLLYSINE+Na",C03793
"N,N,N-TRIMETHYLLYSINE",C03793
5-AMINOLEVULINATE,C00430
5-AMINOLEVULINATE+2Na-H,C00430
5-AMINOLEVULINATE_Na,C00430
5-AMINOLEVULINATE-dimer,C00430
D-MANNOSAMINE+Na,C03570
D-MANNOSAMINE,C03570
D-MANNOSAMINE-dimer,C03570
D-MANNOSAMINE-dimer+Na,C03570
D-MANNOSAMINE+K,C03570
N-ACETYLMETHIONINE-dimer+Na,C02712
N-ACETYLMETHIONINE-dimer+K,C02712
N-ACETYLMETHIONINE+Na,C02712
N-ACETYLMETHIONINE-2Na-H,C02712
N-ACETYLMETHIONINE-dimer,C02712
N-ACETYLMETHIONINE-dimer+2Na-H,C02712
N-ACETYLMETHIONINE-dimer+3Na-2H,C02712
N-ACETYLMETHIONINE,C02712
N-ACETYLMETHIONINE+K,C02712
DIHYDROXYACETONE PHOSPHATE,C00111
DIHYDROXYACETONE PHOSPHATE+Na,C00111
DIHYDROXYACETONE PHOSPHATE+NH4,C00111
DIHYDROXYACETONE PHOSPHATE-dimer,C00111
"ADENOSINE 2',3'-CYCLIC PHOSPHATE",C02353
"ADENOSINE 2',3'-CYCLIC PHOSPHATE+Na",C02353
"CYTIDINE 2',3'-CYCLIC PHOSPHATE+Na",C02354
"CYTIDINE 2',3'-CYCLIC PHOSPHATE-dimer",C02354
"CYTIDINE 2',3'-CYCLIC PHOSPHATE",C02354
FRUCTOSE 6-PHOSPHATE-dimer,C00085
FRUCTOSE 6-PHOSPHATE+NH4,C00085
FRUCTOSE 6-PHOSPHATE+Na,C00085
FRUCTOSE 6-PHOSPHATE-dimer+Na,C00085
FRUCTOSE 6-PHOSPHATE,C00085
FRUCTOSE 6-PHOSPHATE+Na+H,C00085
FRUCTOSE 6-PHOSPHATE+K,C00085
FRUCTOSE 6-PHOSPHATE+2Na-H,C00085
O-PHOSPHOSERINE,C01005
O-PHOSPHOSERINE+Na,C01005
O-PHOSPHOSERINE-trimer,C01005
O-PHOSPHOSERINE-dimer,C01005
O-PHOSPHOSERINE-dimer+Na,C01005
4-GUANIDINOBUTANOATE+Na,C01035
4-GUANIDINOBUTANOATE-dimer,C01035
4-GUANIDINOBUTANOATE,C01035
RIBOFLAVIN+Na,C00255
RIBOFLAVIN,C00255
5'-DEOXYADENOSINE+Na,C05198
5'-DEOXYADENOSINE,C05198
HISTAMINE,C00388
HISTAMINE+Na,C00388
METHYL GALACTOSIDE-dimer,C03619
METHYL GALACTOSIDE+Na,C03619
METHYL GALACTOSIDE,C03619
METHYL GALACTOSIDE+K,C03619
METHYL GALACTOSIDE-dimer+Na,C03619
METHYL GALACTOSIDE+NH4,C03619
URACIL 5-CARBOXYLATE+Na,C03030
URACIL 5-CARBOXYLATE,C03030
UREIDOPROPIONATE,C02642
UREIDOPROPIONATE-dimer,C02642
UREIDOPROPIONATE+2Na-H,C02642
UREIDOPROPIONATE-dimer+Na,C02642
UREIDOPROPIONATE+K,C02642
UREIDOPROPIONATE+Na,C02642
N-ACETYLALANINE,null
N-ACETYLALANINE-dimer+3Na-2H,null
N-ACETYLALANINE+K,null
N-ACETYLALANINE-dimer,null
